,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
7,M0,2,0.743861028,0.921405501,0.756245028,b,0.373992374,0.159126106,9414
12,M0,2,0.792821851,0.826936661,0.533262041,b,0.246920761,0.172906816,7024
13,M0,2,0.79496688,0.903583702,0.603554845,b,0.205622981,0.120959295,9203
21,M0,2,0.804742433,0.880325723,0.602386637,b,0.390526406,0.204673503,12108
22,M0,2,0.893951933,0.920637485,0.676243334,b,0.194173528,0.365399261,17099
26,M0,2,0.67505113,0.923187085,0.776086376,b,0.431793616,0.149798766,7091
38,M0,2,0.617417527,0.890666667,0.69998455,b,0.311803316,0.090133306,7014
42,M0,2,0.864662975,0.86961474,0.610659846,b,0.607620393,0.165617059,12979
43,M0,2,0.762759818,0.812523388,0.576961832,b,0.215565777,0.092036642,6514
44,M0,2,0.813414988,0.967274737,0.825782703,b,0.243265135,0.208355601,8749
45,M0,2,0.747043152,0.924849893,0.690167435,b,0.24531064,0.122562695,4775
48,M0,2,0.788646663,0.883522727,0.601598349,b,0.202182273,0.325077988,7775
51,M0,2,0.864876699,0.912874368,0.588900063,b,0.216137337,0.23437328,2347
52,M0,2,0.835761734,0.883423112,0.676673074,b,0.316824229,0.505009718,8692
54,M0,2,0.784448777,0.974486715,0.873273498,b,0.249133534,0.290132369,6455
56,M0,2,0.770430949,0.981173865,0.798008908,b,0.286146996,0.145040365,3544
58,M0,2,0.853575718,0.909859678,0.669021791,b,0.181975386,0.265726813,9791
66,M1,2,0.834066763,0.885082122,0.667353124,b,0.310065533,0.209638552,16921
84,M1,2,0.70055221,0.93013044,0.63325912,b,0.504857324,0.070177491,14404
86,M2,2,0.779645875,0.907085816,0.715881769,b,0.171580592,0.132652745,7156
89,M2,2,0.736939581,0.942245588,0.784899548,b,0.24188805,0.635386833,12546
94,M2,2,0.758171455,0.946566524,0.780756045,b,0.24625757,0.488356239,13233
95,M2,2,0.889543374,0.91460769,0.61555114,b,0.43405113,0.489465427,15177
