,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
2,M0,0,0.63303611,0.937864644,0.822664682,r,0.204413177,0.493193942,6430
5,M0,0,0.381462549,0.985695947,0.999882662,r,0.261237508,0.264099829,5375
8,M0,0,0.485625696,0.970250275,0.930438199,r,0.154252785,0.233402259,6164
16,M0,0,0.571610687,0.921369753,0.757428396,r,0.332901444,0.198414012,9175
17,M0,0,0.334099397,0.981649961,0.968352465,r,0.262769277,0.273537254,6366
18,M0,0,0.387061646,0.984653161,1.005087227,r,0.089878017,0.341484506,3208
19,M0,0,0.613577911,0.975927968,0.950180086,r,0.183692238,0.068578612,5311
20,M0,0,0.381671274,0.987514863,1.000754416,r,0.31302696,0.116068147,4983
23,M0,0,0.496676617,0.937659945,0.820561704,r,0.453792389,0.082307688,9160
24,M0,0,0.623855552,0.972031403,0.922978328,r,0.262085717,0.116771263,5943
28,M0,0,0.478884623,0.978504973,0.964098859,r,0.205176338,0.240712109,6100
29,M0,0,0.321717834,0.936754608,0.84827366,r,0.1732365,0.081062511,5184
30,M0,0,0.603403237,0.966382917,0.870504642,r,0.177093727,0.088492189,6698
31,M0,0,0.54961187,0.92230444,0.772756451,r,0.316257252,0.059270934,6980
32,M0,0,0.518630252,0.961242017,0.94062689,r,0.179668074,0.203591973,4365
33,M0,0,0.333023781,0.966477273,0.874713114,r,0.185630567,0.166717535,6804
34,M0,0,0.423751011,0.982340785,0.879980805,r,0.478521506,0.03789882,5229
35,M0,0,0.61129529,0.982662539,0.896197451,r,0.221050552,0.112716989,4761
40,M0,0,0.515309154,0.963159134,0.91736831,r,0.252250619,0.211438894,8183
47,M0,0,0.568950759,0.977181974,0.933982692,r,0.287448633,0.050074789,5139
49,M0,0,0.55830525,0.95614318,0.862816782,r,0.323597267,0.106643702,5930
50,M0,0,0.705199633,0.972040347,0.914942593,r,0.21598554,0.167173591,5493
55,M0,0,0.604014165,0.969303424,0.821056034,r,0.27747535,0.13196591,4926
59,M0,0,0.370865102,0.956564297,0.9107657,r,0.248159858,0.115892492,7818
63,M0,0,0.498755415,0.987595712,0.994836467,r,0.259526494,0.365982559,6449
65,M1,0,0.521713058,0.964304647,0.893804057,r,0.398252164,0.130473884,10914
71,M1,0,0.558563815,0.879578474,0.710705202,r,0.611645159,0.131247842,17194
76,M1,0,0.616475744,0.985011933,0.960712148,r,0.461998326,0.155438502,10318
77,M1,0,0.491805716,0.975829022,0.921357274,r,0.369771381,0.07297161,11506
79,M1,0,0.430458881,0.972477825,0.897137129,r,0.245220009,0.055529992,11731
83,M1,0,0.518032303,0.910836117,0.660857835,r,0.305929201,0.207816197,19358
90,M2,0,0.459253098,0.945587259,0.859086093,r,0.225385042,0.7925648,17100
96,M2,0,0.608963205,0.918021398,0.798702349,r,0.188982229,0.23092539,13214
4,M0,1,0.751976122,0.833750313,0.5188141,g,0.202820814,0.316813679,6665
67,M1,1,0.632404612,0.812357173,0.47671231,g,0.343875355,0.096022018,9598
68,M1,1,0.634400877,0.831561323,0.491537625,g,0.315907498,0.125563532,9933
69,M1,1,0.589555928,0.664911409,0.20861675,g,0.37264664,0.255471393,20077
70,M1,1,0.54780148,0.834805024,0.435728266,g,0.470790657,0.097940174,15221
72,M1,1,0.56719928,0.826991565,0.434477966,g,0.617528385,0.208629543,17648
73,M1,1,0.710176312,0.866784967,0.540972918,g,0.604696061,0.115797874,13677
74,M1,1,0.557601405,0.856752263,0.450864882,g,0.670851225,0.048094476,23188
75,M1,1,0.729975445,0.8136326,0.502122821,g,0.424417588,0.190131417,17690
78,M1,1,0.556134063,0.730570914,0.247637743,g,0.349168415,0.061850395,11760
81,M1,1,0.43893287,0.808841024,0.476039956,g,0.409187932,0.124723243,12918
82,M1,1,0.636285507,0.824857426,0.382129366,g,0.298056722,0.200666163,17501
85,M1,1,0.722493055,0.686179954,0.266868601,g,0.410869373,0.125497637,11241
87,M2,1,0.673328148,0.689262473,0.464135941,g,0.373289594,0.105772216,16523
